Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010
1,2011-08-19,1530761.43,0,89.94,3.554,215.6693107,7.962,2011
1,2011-12-09,1799682.38,0,43.93,3.158,218.9618456,7.866,2011
2,2010-05-07,2042581.71,0,71.28,2.835,210.0011018,8.2,2010
2,2011-02-25,1833511.08,0,60.8,3.065,213.190421,8.028,2011
2,2011-05-06,1837743.6,0,61.48,3.906,215.4448709,7.931,2011
2,2011-10-07,1837553.43,0,69.92,3.285,216.6958311,7.441,2011
2,2011-10-28,1769296.25,0,65.87,3.372,217.3251824,7.441,2011
2,2012-05-25,1912791.09,0,78.19,3.561,221.3828029,6.891,2012
3,2011-04-01,374556.08,0,68.76,3.524,218.2114184,7.574,2011
4,2010-11-12,1999794.26,0,52.65,2.741,126.5461613,7.127,2010
4,2010-12-03,2102530.17,0,46.4,2.727,126.7313333,7.127,2010
4,2012-02-17,2427640.17,0,34.19,3.493,130.4546207,4.607,2012
5,2011-01-21,275313.34,0,45.41,3.016,212.3800012,6.634,2011
6,2010-11-12,1495536.46,0,62.11,2.728,213.5268011,7.007,2010
7,2011-01-14,547384.9,0,11.32,2.911,191.4784939,8.818,2011
7,2011-05-27,457216.87,0,37.51,3.795,192.8365651,8.595,2011
7,2012-06-22,687344.68,0,63.69,3.735,197.7389345,8.09,2012
8,2010-02-12,994801.4,1,33.34,2.548,214.6214189,6.299,2010
